,title,source,Category,author,url,published
0,"With loans of just $10, this startup has built a financial services powerhouse in emerging markets",TechCrunch,Technologie,Jonathan Shieber,http://feedproxy.google.com/~r/Techcrunch/~3/LjWBX7wPcP4/,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=18, tm_hour=13, tm_min=29, tm_sec=42, tm_wday=2, tm_yday=108, tm_isdst=0)"
1,Cloud.gov makes Cloud Foundry easier to adopt for government agencies,TechCrunch,Technologie,Frederic Lardinois,http://feedproxy.google.com/~r/Techcrunch/~3/Vir7jKEnh0A/,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=18, tm_hour=13, tm_min=15, tm_sec=52, tm_wday=2, tm_yday=108, tm_isdst=0)"
2,Squarefoot raises $7M to give offices an easier way to find space,TechCrunch,Technologie,Matthew Lynley,http://feedproxy.google.com/~r/Techcrunch/~3/qoszPC6SKwk/,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=18, tm_hour=13, tm_min=0, tm_sec=12, tm_wday=2, tm_yday=108, tm_isdst=0)"
3,StudioBricks is a Barcelona-based startup that sends you a studio in a box,TechCrunch,Technologie,John Biggs,http://feedproxy.google.com/~r/Techcrunch/~3/0M8jNIOuGZw/,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=18, tm_hour=12, tm_min=46, tm_sec=27, tm_wday=2, tm_yday=108, tm_isdst=0)"
4,Voicera scoops up AI note-taking app Wrappup,TechCrunch,Technologie,Ron Miller,http://feedproxy.google.com/~r/Techcrunch/~3/EQl5WB0eRLw/,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=18, tm_hour=11, tm_min=56, tm_sec=21, tm_wday=2, tm_yday=108, tm_isdst=0)"
5,"Basis, a year-old startup thats building a price-stable cryptocurrency, just raised $133 million from top investors",TechCrunch,Technologie,Connie Loizos,http://feedproxy.google.com/~r/Techcrunch/~3/JjGwufcqLGg/,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=18, tm_hour=11, tm_min=30, tm_sec=56, tm_wday=2, tm_yday=108, tm_isdst=0)"
6,Wonolo picks up $13M to create a way to connect temp workers with companies,TechCrunch,Technologie,Matthew Lynley,http://feedproxy.google.com/~r/Techcrunch/~3/sMp2ni81f50/,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=18, tm_hour=11, tm_min=15, tm_sec=46, tm_wday=2, tm_yday=108, tm_isdst=0)"
7,Heres the 23rd batch of 500 Startups companies,TechCrunch,Technologie,Matthew Lynley,http://feedproxy.google.com/~r/Techcrunch/~3/PMSS5KMBG4s/,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=18, tm_hour=11, tm_min=0, tm_sec=39, tm_wday=2, tm_yday=108, tm_isdst=0)"
8,"Facebook, Microsoft and others sign anti-cyberattack pledge",TechCrunch,Technologie,Natasha Lomas,http://feedproxy.google.com/~r/Techcrunch/~3/i4Fjw62QSHM/,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=18, tm_hour=9, tm_min=2, tm_sec=17, tm_wday=2, tm_yday=108, tm_isdst=0)"
9,"Personably, software that helps on-board new hires at fast-growing companies, gets backing from GFC",TechCrunch,Technologie,Steve O'Hear,http://feedproxy.google.com/~r/Techcrunch/~3/7RodQb-1jeE/,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=18, tm_hour=8, tm_min=0, tm_sec=58, tm_wday=2, tm_yday=108, tm_isdst=0)"
10,Uber whistleblower Susan Fowler backs California legislation to end forced arbitration,TechCrunch,Technologie,Jon Russell,http://feedproxy.google.com/~r/Techcrunch/~3/UQFlurAWe-Y/,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=18, tm_hour=7, tm_min=27, tm_sec=6, tm_wday=2, tm_yday=108, tm_isdst=0)"
11,Ford launches on-demand medical transportation service,TechCrunch,Technologie,Megan Rose Dickey,http://feedproxy.google.com/~r/Techcrunch/~3/ltH0UcU0efI/,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=18, tm_hour=7, tm_min=1, tm_sec=54, tm_wday=2, tm_yday=108, tm_isdst=0)"
12,Amazon finally made its e-commerce service usable for international customers,TechCrunch,Technologie,Jon Russell,http://feedproxy.google.com/~r/Techcrunch/~3/tcRi8t-E5N0/,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=18, tm_hour=6, tm_min=45, tm_sec=19, tm_wday=2, tm_yday=108, tm_isdst=0)"
13,"Russias Telegram ban that knocked out 15M Google, Amazon IP addresses had a precedent in Zello",TechCrunch,Technologie,Ingrid Lunden,http://feedproxy.google.com/~r/Techcrunch/~3/eG3dNVtZ8uQ/,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=18, tm_hour=5, tm_min=27, tm_sec=53, tm_wday=2, tm_yday=108, tm_isdst=0)"
14,A flaw-by-flaw guide to Facebooks new GDPR privacy changes,TechCrunch,Technologie,Josh Constine,http://feedproxy.google.com/~r/Techcrunch/~3/zid88tt7wF8/,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=18, tm_hour=5, tm_min=0, tm_sec=53, tm_wday=2, tm_yday=108, tm_isdst=0)"
15,"Funding Societies, a Southeast Asian lending platform, gets $25M Series B led by Softbank Ventures Korea",TechCrunch,Technologie,Catherine Shu,http://feedproxy.google.com/~r/Techcrunch/~3/zKcU_KDz0rU/,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=18, tm_hour=3, tm_min=0, tm_sec=42, tm_wday=2, tm_yday=108, tm_isdst=0)"
16,Coinbase gears up to jump through regulatory hoops with new CFO and other big hires,TechCrunch,Technologie,Taylor Hatmaker,http://feedproxy.google.com/~r/Techcrunch/~3/Yza04nz2QL0/,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=17, tm_hour=23, tm_min=55, tm_sec=18, tm_wday=1, tm_yday=107, tm_isdst=0)"
17,"Thanks to todays outage, the goobers at the IRS are giving people another day to file their taxes",TechCrunch,Technologie,Jonathan Shieber,http://feedproxy.google.com/~r/Techcrunch/~3/DKG_Qqj7fN0/,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=17, tm_hour=23, tm_min=54, tm_sec=38, tm_wday=1, tm_yday=107, tm_isdst=0)"
18,Trump hails CIA chief Mike Pompeo's secret trip to N Korea,BBCWorldNews,World,None,http://www.bbc.co.uk/news/world-asia-43811374,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=18, tm_hour=12, tm_min=13, tm_sec=39, tm_wday=2, tm_yday=108, tm_isdst=0)"
19,'Confused' UN envoy Nikki Haley hits back at White House,BBCWorldNews,World,None,http://www.bbc.co.uk/news/world-us-canada-43806960,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=18, tm_hour=8, tm_min=15, tm_sec=58, tm_wday=2, tm_yday=108, tm_isdst=0)"
20,Cuba lawmakers meet to choose Ral Castro's successor,BBCWorldNews,World,None,http://www.bbc.co.uk/news/world-latin-america-43808311,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=18, tm_hour=11, tm_min=36, tm_sec=1, tm_wday=2, tm_yday=108, tm_isdst=0)"
21,Former US First Lady Barbara Bush dies at 92,BBCWorldNews,World,None,http://www.bbc.co.uk/news/world-us-canada-43805365,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=18, tm_hour=3, tm_min=42, tm_sec=27, tm_wday=2, tm_yday=108, tm_isdst=0)"
22,Southwest Airlines jet engine 'explosion' leaves woman dead,BBCWorldNews,World,None,http://www.bbc.co.uk/news/world-us-canada-43803340,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=18, tm_hour=6, tm_min=14, tm_sec=59, tm_wday=2, tm_yday=108, tm_isdst=0)"
